epoch,train_loss,val_loss,val_roc_auc_score
1,0.655023485714314,0.6342488527297974,0.7110024137770969
2,0.5736156288899628,0.5754762887954712,0.7731455693264634
3,0.5312849841573659,0.5036001205444336,0.7880169892772595
4,0.5165749316706377,0.5537436008453369,0.7933725572111591
5,0.5064346848457467,0.4874512553215027,0.8005500626653669
6,0.5021843107307659,0.5287904143333435,0.8051571276052547
7,0.49825299840931797,0.5306589007377625,0.8082149654180012
8,0.4923987336895045,0.514870285987854,0.8114236642993082
9,0.4884364869372517,0.5344182252883911,0.8079364526760433
10,0.48710606776031795,0.48156869411468506,0.813181775982918
11,0.4798778984768718,0.5133011341094971,0.810936267000882
12,0.47536501262117836,0.48138922452926636,0.8148760618298286
13,0.4750601765571856,0.4929436445236206,0.8160249268904053
14,0.4702944655628765,0.513444721698761,0.8089692707608039
15,0.4709604764101552,0.4973353147506714,0.8153112379891381
16,0.4635539517975321,0.5123987793922424,0.808412245276888
17,0.46332333134669884,0.490653932094574,0.8048902195608783
18,0.46312454839547473,0.49838387966156006,0.8113656408114003
