epoch,train_loss,val_loss,val_roc_auc_score
1,1.37953896962461,0.48516154289245605,0.7912112815335963
2,1.2935588918034993,0.46128910779953003,0.8138423345934754
3,1.3023983999377204,0.44226449728012085,0.8227320017717529
4,1.2578511663845606,0.4273228049278259,0.8268884104698235
5,1.243470876462876,0.4246499836444855,0.827037773359841
6,1.2563702177906793,0.4215310513973236,0.8277845878099279
7,1.2239614564274985,0.4235571324825287,0.8396718136775204
8,1.2202315602510694,0.41194403171539307,0.845162187496781
9,1.2080319795816663,0.4223965108394623,0.8351960774214815
10,1.2009791656145974,0.39517855644226074,0.8349643074197303
11,1.2455051004413575,0.3811511993408203,0.8375292287724431
12,1.1915000024295987,0.3817782402038574,0.829592393823587
13,1.2152517719401255,0.4143202602863312,0.8432307708155213
14,1.2059031244781282,0.4099346399307251,0.8351239711987145
15,1.1474851481025181,0.37496456503868103,0.8348149445297129
16,1.1638884669731533,0.38015154004096985,0.8321985187321665
17,1.1445741740957138,0.3733943998813629,0.8341093336354927
18,1.1378531389766269,0.39373332262039185,0.8314568547265629
